trial,split,epoch,sample,predictor,value
0,train,0,86,Teacher,0.0378972329199314
0,train,0,87,Teacher,0.0409397892653942
0,train,0,88,Teacher,0.0624273791909217
0,train,0,89,Teacher,0.0243483334779739
0,train,0,90,Teacher,0.0650630742311477
0,train,0,91,Teacher,0.0457043386995792
0,train,0,92,Teacher,0.0473426282405853
0,train,0,93,Teacher,0.0361186377704143
0,train,0,94,Teacher,0.0378844179213047
0,train,0,95,Teacher,0.0555604435503482
0,train,0,96,Teacher,0.052873071283102
0,train,0,97,Teacher,0.0557192042469978
0,train,0,98,Teacher,0.0830240249633789
0,train,0,99,Teacher,0.0396390631794929
0,train,0,0,Student 2,0.0278940442949533
0,train,0,1,Student 3,0.0172612220048904
0,train,0,2,Student 9,0.0188244972378015
0,train,0,3,Student 7,0.0182694066315889
0,train,0,4,Student 7,0.0270312000066041
0,train,0,5,Student 8,0.0382307916879653
0,train,0,6,Student 5,0.0302323196083307
0,train,0,7,Student 2,0.0317083448171615
0,train,0,8,Student 6,0.0323492065072059
0,train,0,9,Student 7,0.0241735856980085
0,train,0,10,Student 8,0.0385788567364215
0,train,0,11,Student 9,0.0498858429491519
0,train,0,12,Student 0,0.0303161758929491
0,train,0,13,Student 8,0.0292997378855943
0,train,0,14,Student 6,0.0337330475449562
0,train,0,15,Student 1,0.0169464647769927
0,train,0,16,Student 2,0.0227463133633136
0,train,0,17,Student 1,0.0184068493545055
0,train,0,18,Student 6,0.0272354315966367
0,train,0,19,Student 4,0.0408830381929874
0,train,0,20,Student 6,0.0353723093867301
0,train,0,21,Student 7,0.0105814142152667
0,train,0,22,Student 7,0.0303236227482557
0,train,0,23,Student 1,0.0089106783270835
0,train,0,24,Student 4,0.0198401268571615
0,train,0,25,Student 1,0.0108586065471172
0,train,0,26,Student 4,0.0214384701102972
0,train,0,27,Student 8,0.0264589581638574
0,train,0,28,Student 3,0.0255488101392984
0,train,0,29,Student 5,0.033466387540102
0,train,0,30,Student 1,0.0093568805605173
0,train,0,31,Student 6,0.0441314913332462
0,train,0,32,Student 2,0.0308700669556856
0,train,0,33,Student 9,0.0171669591218233
0,train,0,34,Student 9,0.0133694792166352
0,train,0,35,Student 9,0.0253756120800972
0,train,0,36,Student 1,0.0098082665354013
0,train,0,37,Student 5,0.0244690757244825
0,train,0,38,Student 8,0.0268073864281177
0,train,0,39,Student 0,0.0542236045002937
0,train,0,40,Student 0,0.0378155782818794
0,train,0,41,Student 3,0.0216339286416769
0,train,0,42,Student 6,0.0346643514931201
0,train,0,43,Student 4,0.0242071766406297
0,train,0,44,Student 4,0.0287138372659683
0,train,0,45,Student 8,0.028142062947154
0,train,0,46,Student 9,0.0303417332470417
0,train,0,47,Student 1,0.0152546232566237
0,train,0,48,Student 5,0.0268344767391681
0,train,0,49,Student 8,0.0286758542060852
0,train,0,50,Student 9,0.0158385951071977
0,train,0,51,Student 1,0.0111518753692507
0,train,0,52,Student 1,0.0082645518705248
