dataset,way,train_shot,test_shot,max_depth,x_dim,channels,trials,split,in_alphabet,add_rotations,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
covtype,7,50,1,100,54,0,100,test,False,True,2000,False,False,True,0.6028571428571429,16.750274896621704
covtype,7,100,1,1,54,0,100,test,False,True,2000,False,False,True,0.2857142857142856,16.94748544692993
covtype,7,100,1,3,54,0,100,test,False,True,2000,False,False,True,0.6114285714285713,16.069970846176147
covtype,7,100,1,5,54,0,100,test,False,True,2000,False,False,True,0.6171428571428571,15.565007209777832
covtype,7,100,1,7,54,0,100,test,False,True,2000,False,False,True,0.637142857142857,16.276200532913208
covtype,7,100,1,10,54,0,100,test,False,True,2000,False,False,True,0.6342857142857142,16.7987539768219
covtype,7,100,1,20,54,0,100,test,False,True,2000,False,False,True,0.5885714285714285,16.21690058708191
covtype,7,100,1,30,54,0,100,test,False,True,2000,False,False,True,0.6142857142857142,15.951336145401
covtype,7,100,1,50,54,0,100,test,False,True,2000,False,False,True,0.6285714285714286,16.693387746810913
covtype,7,100,1,100,54,0,100,test,False,True,2000,False,False,True,0.6314285714285713,16.448366403579712
covtype,7,200,1,1,54,0,100,test,False,True,2000,False,False,True,0.2857142857142856,16.470837354660034
covtype,7,200,1,3,54,0,100,test,False,True,2000,False,False,True,0.5771428571428571,15.203938245773315
covtype,7,200,1,5,54,0,100,test,False,True,2000,False,False,True,0.6385714285714285,16.06470012664795
covtype,7,200,1,7,54,0,100,test,False,True,2000,False,False,True,0.6242857142857141,17.204557418823242
covtype,7,200,1,10,54,0,100,test,False,True,2000,False,False,True,0.6428571428571428,17.59535837173462
covtype,7,200,1,20,54,0,100,test,False,True,2000,False,False,True,0.6371428571428571,17.294334411621094
covtype,7,200,1,30,54,0,100,test,False,True,2000,False,False,True,0.6714285714285714,17.6520938873291
covtype,7,200,1,50,54,0,100,test,False,True,2000,False,False,True,0.6614285714285714,17.088812351226807
covtype,7,200,1,100,54,0,100,test,False,True,2000,False,False,True,0.67,17.984297513961792
covtype,7,300,1,1,54,0,100,test,False,True,2000,False,False,True,0.2857142857142856,15.913414239883425
covtype,7,300,1,3,54,0,100,test,False,True,2000,False,False,True,0.5828571428571427,16.10625958442688
covtype,7,300,1,5,54,0,100,test,False,True,2000,False,False,True,0.6585714285714285,17.428670167922974
