dataset,train_shot,x_dim,way,test_shot,loss,epochs,trials,silent,split,lr_predictor,lr_target,test_batch,save_data,full_test,gpu,table_dataset,accuracy,duration_sec,z_dim
covtype,1,54,7,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,True,0.2799999999999999,151.74910259246826,1000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,True,0.2314285714285714,150.00043749809265,1000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,True,0.2128571428571428,155.02948999404907,1000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,True,0.2828571428571427,149.92320847511292,1000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,True,0.2185714285714285,148.1541440486908,1000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,True,0.1957142857142857,148.4661045074463,1000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,True,0.2857142857142856,165.05489468574524,2000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,True,0.2714285714285713,160.493750333786,2000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,True,0.2699999999999999,144.5122275352478,2000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,True,0.2742857142857142,166.35976338386536,2000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,True,0.2199999999999999,158.70617747306824,2000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,True,0.2142857142857142,120.98012161254884,2000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,True,0.277142857142857,159.87239837646484,2000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,True,0.2185714285714285,159.8070719242096,2000.0
covtype,1,54,7,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,True,0.1999999999999999,163.17731976509094,2000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,True,0.4585714285714286,751.4449985027313,1000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,True,0.4542857142857142,690.7116239070892,1000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,True,0.45,613.352653503418,1000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,True,0.4671428571428571,697.9258110523224,1000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,True,0.4557142857142857,488.1640067100525,1000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,True,0.4457142857142858,674.4083909988403,1000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,True,0.4657142857142857,691.6766467094421,1000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,True,0.4471428571428572,745.8735542297363,1000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,True,0.4271428571428571,719.8683183193207,1000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,True,0.4728571428571428,742.0625610351562,2000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,True,0.4728571428571428,772.094929933548,2000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,True,0.4742857142857142,779.5541582107544,2000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,True,0.47,772.8990783691406,2000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,True,0.4685714285714285,774.4436671733856,2000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,True,0.4685714285714285,772.6413185596466,2000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,True,0.4685714285714285,771.7649199962616,2000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,True,0.4585714285714285,783.1761860847473,2000.0
covtype,10,54,7,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,True,0.45,804.2251641750336,2000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,True,0.6242857142857141,6582.943094491959,1000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,True,0.5957142857142855,6908.210447311401,1000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,True,0.5999999999999999,7081.740710020065,1000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,True,0.6099999999999999,9094.032064199448,1000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,True,0.6,7043.285155057907,1000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,True,0.5914285714285714,7061.038843631744,1000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,True,0.6085714285714285,7064.971989154816,1000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,True,0.5914285714285714,7069.908287286758,1000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,True,0.5857142857142857,6879.896772384644,1000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,True,0.6185714285714284,7446.34850692749,2000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,True,0.5885714285714285,7462.12121462822,2000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,True,0.5842857142857142,7272.473083972931,2000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,True,0.5857142857142857,6821.898229598999,2000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,True,0.5814285714285714,7051.535720586777,2000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,True,0.5857142857142857,7170.931840896606,2000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,True,0.58,7229.694668054581,2000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,True,0.5714285714285714,6932.108442306519,2000.0
covtype,100,54,7,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,True,0.5757142857142856,7058.087023019791,2000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,True,0.4914285714285714,21298.4255297184,1000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,True,0.48,21526.89301085472,1000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,True,0.4685714285714286,23726.31734013557,1000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,True,0.6128571428571428,21282.146562337875,1000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,True,0.5985714285714284,3865.193012475968,1000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,True,0.5957142857142856,4300.983382701874,1000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,True,0.5771428571428571,3825.1422650814056,1000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,True,0.5842857142857142,3795.610418319702,1000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,True,0.58,3810.082180976868,1000.0
covtype,300,54,7,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,True,0.5114285714285715,3941.944619894028,2000.0
