dataset,way,train_shot,test_shot,loss,epochs,trials,silent,split,x_dim,z_dim,lr_predictor,lr_target,channels,test_batch,save_data,in_alphabet,add_rotations,augmentation,gpu,accuracy,duration_sec,full_test,table_dataset
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,True,True,1,0.604,1189.352956533432,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,True,True,1,0.588,1181.1013424396515,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,True,True,1,0.8040000000000002,1212.905027627945,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,True,True,1,0.826,1221.8386743068695,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,True,True,1,0.8300000000000002,1222.9552958011627,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,True,True,1,0.8000000000000002,1250.165448665619,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,True,True,1,0.8220000000000001,1239.6054904460907,,
fashion_mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,True,True,1,0.8180000000000001,1244.6648330688477,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,True,True,1,0.63,2952.520414590836,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,True,True,1,0.602,2929.551956653595,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,True,True,1,0.6099999999999999,2943.67306303978,,
fashion_mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,True,True,1,0.804,2956.592618227005,,
