dataset,epochs,way,train_shot,test_shot,dld,x_dim,z_dim,optimizer,lr,lr_target,initialization,loss,trials,silent,split,gpu,test_batch,full_test,save_data,table_dataset,accuracy,add_rotations,channels,duration_sec,in_alphabet
customer,3,2,200,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.71,0.0,1.0,248.6119577884674,0.0
customer,3,2,200,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.71,0.0,1.0,246.7446639537812,0.0
customer,3,2,200,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.71,0.0,1.0,243.96617150306705,0.0
customer,3,2,200,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.67,0.0,1.0,243.3559443950653,0.0
customer,3,2,200,1,True,41,2000,adam,0.0001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.655,0.0,1.0,250.5581855773925,0.0
customer,3,2,200,1,True,41,2000,adam,0.0001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.655,0.0,1.0,249.5206000804901,0.0
customer,3,2,200,1,True,41,2000,adam,5e-05,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.66,0.0,1.0,245.28161883354187,0.0
customer,3,2,200,1,True,41,2000,adam,5e-05,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.655,0.0,1.0,244.0623230934143,0.0
customer,3,2,200,1,True,41,2000,adam,5e-05,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.655,0.0,1.0,247.5966799259185,0.0
customer,3,2,300,1,True,41,2000,adam,0.01,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.545,0.0,1.0,372.8292360305786,0.0
customer,3,2,300,1,True,41,2000,adam,0.01,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.565,0.0,1.0,369.1337194442749,0.0
customer,3,2,300,1,True,41,2000,adam,0.01,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.57,0.0,1.0,367.8208327293396,0.0
customer,3,2,300,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.66,0.0,1.0,375.7413094043732,0.0
customer,3,2,300,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.66,0.0,1.0,365.4277818202973,0.0
customer,3,2,300,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.66,0.0,1.0,375.2336256504059,0.0
customer,3,2,300,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.685,0.0,1.0,376.84348011016846,0.0
customer,3,2,300,1,True,41,2000,adam,0.0001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.67,0.0,1.0,373.54800033569336,0.0
customer,3,2,300,1,True,41,2000,adam,0.0001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.67,0.0,1.0,369.810920715332,0.0
customer,3,2,300,1,True,41,2000,adam,5e-05,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.645,0.0,1.0,378.47993063926697,0.0
customer,3,2,300,1,True,41,2000,adam,5e-05,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.645,0.0,1.0,363.9955399036408,0.0
customer,3,2,300,1,True,41,2000,adam,5e-05,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.645,0.0,1.0,375.1450505256653,0.0
customer,10,2,1,1,True,41,2000,adam,0.01,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.515,0.0,1.0,5.762729406356812,0.0
customer,10,2,1,1,True,41,2000,adam,0.01,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.515,0.0,1.0,5.782836437225342,0.0
customer,10,2,1,1,True,41,2000,adam,0.01,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.515,0.0,1.0,5.835912704467773,0.0
customer,10,2,1,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.53,0.0,1.0,6.157118797302246,0.0
customer,10,2,1,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.525,0.0,1.0,5.978561639785767,0.0
customer,10,2,1,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.525,0.0,1.0,5.7318971157073975,0.0
customer,10,2,1,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.48,0.0,1.0,5.8615124225616455,0.0
customer,10,2,1,1,True,41,2000,adam,0.0001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.475,0.0,1.0,5.7289769649505615,0.0
customer,10,2,1,1,True,41,2000,adam,0.0001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.475,0.0,1.0,5.89035964012146,0.0
customer,10,2,1,1,True,41,2000,adam,5e-05,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.495,0.0,1.0,5.592016935348511,0.0
customer,10,2,1,1,True,41,2000,adam,5e-05,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.485,0.0,1.0,5.799083709716797,0.0
customer,10,2,1,1,True,41,2000,adam,5e-05,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.485,0.0,1.0,5.763270139694214,0.0
customer,10,2,50,1,True,41,2000,adam,0.01,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.59,0.0,1.0,205.9047622680664,0.0
customer,10,2,50,1,True,41,2000,adam,0.01,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.57,0.0,1.0,202.22104692459104,0.0
customer,10,2,50,1,True,41,2000,adam,0.01,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.575,0.0,1.0,206.2266128063202,0.0
customer,10,2,50,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.675,0.0,1.0,204.85710072517395,0.0
customer,10,2,50,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.66,0.0,1.0,209.6413412094116,0.0
customer,10,2,50,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.66,0.0,1.0,205.60051798820496,0.0
customer,10,2,50,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.615,0.0,1.0,203.00076580047607,0.0
customer,10,2,50,1,True,41,2000,adam,0.0001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.61,0.0,1.0,207.1505510807037,0.0
customer,10,2,50,1,True,41,2000,adam,0.0001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.61,0.0,1.0,202.80704641342163,0.0
customer,10,2,50,1,True,41,2000,adam,5e-05,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.63,0.0,1.0,207.44264459609985,0.0
customer,10,2,50,1,True,41,2000,adam,5e-05,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.615,0.0,1.0,206.7700781822205,0.0
customer,10,2,50,1,True,41,2000,adam,5e-05,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.615,0.0,1.0,206.6668281555176,0.0
customer,10,2,10,1,True,41,2000,adam,0.01,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.645,0.0,1.0,42.10030126571655,0.0
customer,10,2,10,1,True,41,2000,adam,0.01,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.63,0.0,1.0,40.24684238433838,0.0
customer,10,2,10,1,True,41,2000,adam,0.01,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.63,0.0,1.0,42.52607989311218,0.0
customer,10,2,10,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.645,0.0,1.0,42.38205909729004,0.0
customer,10,2,10,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.63,0.0,1.0,42.99404048919678,0.0
customer,10,2,10,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.63,0.0,1.0,42.46142578125,0.0
customer,10,2,10,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.61,0.0,1.0,43.72575116157532,0.0
customer,10,2,10,1,True,41,2000,adam,0.0001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.6,0.0,1.0,44.10308885574341,0.0
customer,10,2,10,1,True,41,2000,adam,0.0001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.6,0.0,1.0,44.98437833786011,0.0
customer,10,2,10,1,True,41,2000,adam,5e-05,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.565,0.0,1.0,41.93441724777222,0.0
customer,10,2,10,1,True,41,2000,adam,5e-05,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.575,0.0,1.0,42.53793692588806,0.0
customer,10,2,10,1,True,41,2000,adam,5e-05,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.58,0.0,1.0,44.4757251739502,0.0
customer,10,2,100,1,True,41,2000,adam,0.01,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.565,0.0,1.0,412.5352506637573,0.0
customer,10,2,100,1,True,41,2000,adam,0.01,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.575,0.0,1.0,408.7080204486847,0.0
customer,10,2,100,1,True,41,2000,adam,0.01,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.57,0.0,1.0,411.11965107917786,0.0
customer,10,2,100,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.7,0.0,1.0,411.3738548755646,0.0
customer,10,2,100,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.705,0.0,1.0,411.2387025356293,0.0
customer,10,2,100,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.705,0.0,1.0,408.0149433612824,0.0
customer,10,2,100,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.725,0.0,1.0,425.23015689849854,0.0
customer,10,2,100,1,True,41,2000,adam,0.0001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.71,0.0,1.0,416.0490188598633,0.0
customer,10,2,100,1,True,41,2000,adam,0.0001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.705,0.0,1.0,419.9098515510559,0.0
customer,10,2,100,1,True,41,2000,adam,5e-05,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.685,0.0,1.0,415.8846399784088,0.0
customer,10,2,100,1,True,41,2000,adam,5e-05,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.665,0.0,1.0,411.2346539497376,0.0
customer,10,2,100,1,True,41,2000,adam,5e-05,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.66,0.0,1.0,418.640394449234,0.0
customer,10,2,200,1,True,41,2000,adam,0.01,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.56,0.0,1.0,822.3661553859711,0.0
customer,10,2,200,1,True,41,2000,adam,0.01,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.55,0.0,1.0,836.3997914791107,0.0
customer,10,2,200,1,True,41,2000,adam,0.01,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.555,0.0,1.0,831.2211668491364,0.0
customer,10,2,200,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.665,0.0,1.0,841.0669028759003,0.0
customer,10,2,200,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.66,0.0,1.0,799.8929710388184,0.0
customer,10,2,200,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.66,0.0,1.0,814.1664519309998,0.0
customer,10,2,200,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.715,0.0,1.0,805.4389197826385,0.0
customer,10,2,200,1,True,41,2000,adam,0.0001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.71,0.0,1.0,816.3536486625671,0.0
customer,10,2,200,1,True,41,2000,adam,0.0001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.71,0.0,1.0,814.6106204986572,0.0
customer,10,2,200,1,True,41,2000,adam,5e-05,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.675,0.0,1.0,827.0354514122009,0.0
customer,10,2,200,1,True,41,2000,adam,5e-05,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.665,0.0,1.0,820.8916766643524,0.0
customer,10,2,200,1,True,41,2000,adam,5e-05,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.665,0.0,1.0,818.2362449169159,0.0
customer,10,2,300,1,True,41,2000,adam,0.01,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.54,0.0,1.0,1246.4949779510498,0.0
customer,10,2,300,1,True,41,2000,adam,0.01,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.545,0.0,1.0,1234.702894449234,0.0
customer,10,2,300,1,True,41,2000,adam,0.01,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.565,0.0,1.0,1207.001160144806,0.0
customer,10,2,300,1,True,41,2000,adam,0.001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.635,0.0,1.0,1227.4433615207672,0.0
customer,10,2,300,1,True,41,2000,adam,0.001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.62,0.0,1.0,1223.371943473816,0.0
customer,10,2,300,1,True,41,2000,adam,0.001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.61,0.0,1.0,1233.7871370315552,0.0
customer,10,2,300,1,True,41,2000,adam,0.0001,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.675,0.0,1.0,1224.965271949768,0.0
customer,10,2,300,1,True,41,2000,adam,0.0001,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.68,0.0,1.0,1241.03719997406,0.0
customer,10,2,300,1,True,41,2000,adam,0.0001,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.68,0.0,1.0,1226.7615022659302,0.0
customer,10,2,300,1,True,41,2000,adam,5e-05,0.001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.68,0.0,1.0,1222.0405831336975,0.0
customer,10,2,300,1,True,41,2000,adam,5e-05,0.0001,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.675,0.0,1.0,1223.6509778499603,0.0
customer,10,2,300,1,True,41,2000,adam,5e-05,5e-05,xavier_normal,MSELoss(),100,False,train,2,1407,False,False,True,0.675,0.0,1.0,1227.5923404693604,0.0
