dataset,train_shot,test_shot,loss,epochs,trials,silent,split,lr_predictor,lr_target,test_batch,save_data,full_test,gpu,accuracy,duration_sec,table_dataset,way,x_dim,z_dim
customer,10,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,0.68,203.1838722229004,1.0,2.0,41.0,1000.0
customer,10,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,0.67,206.3339881896973,1.0,2.0,41.0,1000.0
customer,10,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,0.61,202.0764596462249,1.0,2.0,41.0,1000.0
customer,10,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,0.615,204.80195093154907,1.0,2.0,41.0,1000.0
customer,10,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,0.62,204.32255220413208,1.0,2.0,41.0,1000.0
customer,10,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,0.6,204.741544008255,1.0,2.0,41.0,1000.0
customer,10,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,0.585,204.8298802375793,1.0,2.0,41.0,1000.0
customer,10,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,0.6,204.84772658348083,1.0,2.0,41.0,1000.0
customer,100,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,0.565,1972.2688281536105,1.0,2.0,41.0,1000.0
customer,100,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,0.665,1618.938812494278,1.0,2.0,41.0,1000.0
customer,100,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,0.67,1604.2098548412323,1.0,2.0,41.0,1000.0
customer,100,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,0.645,1972.483580350876,1.0,2.0,41.0,1000.0
customer,100,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,0.67,1941.1488044261928,1.0,2.0,41.0,1000.0
customer,100,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,0.665,1958.6442942619324,1.0,2.0,41.0,1000.0
customer,100,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,0.68,1973.239320278168,1.0,2.0,41.0,1000.0
customer,100,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,0.625,1986.3479051589968,1.0,2.0,41.0,1000.0
customer,100,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,0.62,1980.5951075553887,1.0,2.0,41.0,1000.0
customer,300,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,1,0.53,5934.847275495529,1.0,2.0,41.0,1000.0
customer,300,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,1,0.715,5870.094964027405,1.0,2.0,41.0,1000.0
customer,300,1,MSELoss(),10,100,True,train,0.001,5e-05,1,False,False,1,0.73,5539.627859830856,1.0,2.0,41.0,1000.0
customer,300,1,MSELoss(),10,100,True,train,0.0001,0.001,1,False,False,1,0.73,5902.525023698807,1.0,2.0,41.0,1000.0
customer,300,1,MSELoss(),10,100,True,train,0.0001,0.0001,1,False,False,1,0.74,5920.457138299942,1.0,2.0,41.0,1000.0
customer,300,1,MSELoss(),10,100,True,train,0.0001,5e-05,1,False,False,1,0.76,5897.593986749649,1.0,2.0,41.0,1000.0
customer,300,1,MSELoss(),10,100,True,train,5e-05,0.001,1,False,False,1,0.685,5889.6829035282135,1.0,2.0,41.0,1000.0
customer,300,1,MSELoss(),10,100,True,train,5e-05,0.0001,1,False,False,1,0.63,5525.417024374008,1.0,2.0,41.0,1000.0
customer,300,1,MSELoss(),10,100,True,train,5e-05,5e-05,1,False,False,1,0.715,5838.107444763184,1.0,2.0,41.0,1000.0
customer,50,1,MSELoss(),10,100,True,train,0.001,0.001,1,False,False,2,0.635,278.9463484287262,1.0,2.0,41.0,1000.0
customer,50,1,MSELoss(),10,100,True,train,0.001,0.0001,1,False,False,2,0.68,264.8429973125458,1.0,2.0,41.0,1000.0
