dataset,epochs,way,train_shot,test_shot,dld,optimizer,x_dim,z_dim,lr,initialization,loss,in_alphabet,add_rotations,channels,trials,silent,split,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec,lr_target
covtype,3,7,50,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5499999999999999,447.9674074649811,0.0001
covtype,3,7,50,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5499999999999999,445.500702381134,5e-05
covtype,3,7,50,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4885714285714286,435.255405664444,0.001
covtype,3,7,50,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4814285714285715,457.8262574672699,0.0001
covtype,3,7,50,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.4771428571428571,452.3731009960175,5e-05
covtype,3,7,100,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6199999999999999,833.1632392406464,0.001
covtype,3,7,100,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6114285714285714,814.9700663089752,0.0001
covtype,3,7,100,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6099999999999999,826.5339822769165,5e-05
covtype,3,7,100,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5814285714285714,848.3817849159241,0.001
covtype,3,7,100,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.58,851.6274089813232,0.0001
covtype,3,7,100,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5771428571428572,842.9034445285797,5e-05
covtype,3,7,100,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5414285714285714,847.0747737884521,0.001
covtype,3,7,100,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5342857142857143,849.9637200832367,0.0001
covtype,3,7,100,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5242857142857144,839.7985746860504,5e-05
covtype,3,7,100,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5928571428571429,854.657345533371,0.001
covtype,3,7,100,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5785714285714285,837.3243205547333,0.0001
covtype,3,7,100,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5785714285714285,840.4764287471771,5e-05
covtype,3,7,100,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5857142857142857,843.5642125606537,0.001
covtype,3,7,100,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5771428571428572,1153.42142868042,0.0001
covtype,3,7,100,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5771428571428572,1191.6912202835083,5e-05
covtype,3,7,100,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5685714285714285,1188.5932426452637,0.001
covtype,3,7,100,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.557142857142857,1188.166217327118,0.0001
covtype,3,7,100,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5557142857142856,1186.6849462985992,5e-05
covtype,3,7,200,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.62,2326.192113161087,0.001
covtype,3,7,200,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6042857142857142,2327.7028794288635,0.0001
covtype,3,7,200,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6014285714285714,2329.817066431045,5e-05
covtype,3,7,200,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5928571428571429,2313.245584011078,0.001
covtype,3,7,200,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5871428571428571,2344.566877603531,0.0001
covtype,3,7,200,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5885714285714286,2334.8234016895294,5e-05
covtype,3,7,200,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5814285714285714,2330.34499335289,0.001
covtype,3,7,200,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.57,2327.103544473648,0.0001
covtype,3,7,200,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.57,2133.426215171814,5e-05
covtype,3,7,200,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6157142857142858,1671.0862529277802,0.001
covtype,3,7,200,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6085714285714285,1663.7978007793429,0.0001
covtype,3,7,200,1,True,adam,54,2000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6099999999999999,1663.2772994041443,5e-05
covtype,3,7,200,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5814285714285714,1635.84126162529,0.001
covtype,3,7,200,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5728571428571428,1680.4444482326508,0.0001
covtype,3,7,200,1,True,adam,54,2000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5742857142857143,1700.892878293991,5e-05
covtype,3,7,200,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.58,1690.7092261314392,0.001
covtype,3,7,200,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5685714285714285,1678.785252571106,0.0001
covtype,3,7,200,1,True,adam,54,2000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5685714285714285,1680.5366644859314,5e-05
covtype,3,7,300,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6528571428571426,2473.506989002228,0.001
covtype,3,7,300,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6371428571428571,2482.9020199775696,0.0001
covtype,3,7,300,1,True,adam,54,1000,0.001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.6328571428571428,2492.485036611557,5e-05
covtype,3,7,300,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5914285714285713,2494.632382392884,0.001
covtype,3,7,300,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5842857142857142,2492.738101243973,0.0001
covtype,3,7,300,1,True,adam,54,1000,0.0001,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5828571428571427,2496.306507587433,5e-05
covtype,3,7,300,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5728571428571428,2493.399813890457,0.001
covtype,3,7,300,1,True,adam,54,1000,5e-05,xavier_normal,MSELoss(),False,True,1,100,True,train,0,2000,False,False,True,0.5714285714285713,2508.057412385941,0.0001
