dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,lr_target,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
fashion_mnist,3,10,1,1,28,2000,True,adam,5e-05,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.267,22.125335216522217
fashion_mnist,3,10,10,1,28,784,True,adam,0.001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.6779999999999998,76.42009019851685
fashion_mnist,3,10,10,1,28,784,True,adam,0.001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.6589999999999999,73.46735453605652
fashion_mnist,3,10,10,1,28,784,True,adam,0.001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.6549999999999998,70.93840003013611
fashion_mnist,3,10,10,1,28,784,True,adam,0.0001,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.645,72.6038556098938
fashion_mnist,3,10,10,1,28,784,True,adam,0.0001,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.625,67.3202874660492
fashion_mnist,3,10,10,1,28,784,True,adam,0.0001,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.623,64.67848587036133
fashion_mnist,3,10,10,1,28,784,True,adam,5e-05,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.633,65.47874426841736
fashion_mnist,3,10,10,1,28,784,True,adam,5e-05,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.5760000000000001,65.08706641197205
fashion_mnist,3,10,10,1,28,784,True,adam,5e-05,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,False,0.568,64.88813710212708
