dataset,way,train_shot,test_shot,max_depth,x_dim,channels,trials,split,in_alphabet,add_rotations,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
customer,2,100,1,10,41,0,100,train,False,True,2000,False,False,True,0.72,2.104602098464966
customer,2,100,1,20,41,0,100,train,False,True,2000,False,False,True,0.635,2.120393753051758
customer,2,100,1,30,41,0,100,train,False,True,2000,False,False,True,0.72,2.358607053756714
customer,2,100,1,50,41,0,100,train,False,True,2000,False,False,True,0.73,2.144601583480835
customer,2,100,1,100,41,0,100,train,False,True,2000,False,False,True,0.65,2.1762824058532715
customer,2,200,1,1,41,0,100,train,False,True,2000,False,False,True,0.73,2.064982652664185
customer,2,200,1,3,41,0,100,train,False,True,2000,False,False,True,0.71,2.498666524887085
customer,2,200,1,5,41,0,100,train,False,True,2000,False,False,True,0.69,2.179799318313598
customer,2,200,1,7,41,0,100,train,False,True,2000,False,False,True,0.68,3.1444573402404785
customer,2,200,1,10,41,0,100,train,False,True,2000,False,False,True,0.7,2.237605333328247
customer,2,200,1,20,41,0,100,train,False,True,2000,False,False,True,0.71,2.2544448375701904
customer,2,200,1,30,41,0,100,train,False,True,2000,False,False,True,0.665,2.848374366760254
customer,2,200,1,50,41,0,100,train,False,True,2000,False,False,True,0.66,2.12028431892395
customer,2,200,1,100,41,0,100,train,False,True,2000,False,False,True,0.725,2.3413989543914795
customer,2,300,1,1,41,0,100,train,False,True,2000,False,False,True,0.71,2.5938196182250977
customer,2,300,1,3,41,0,100,train,False,True,2000,False,False,True,0.75,1.9998712539672847
customer,2,300,1,5,41,0,100,train,False,True,2000,False,False,True,0.745,2.2447309494018555
customer,2,300,1,7,41,0,100,train,False,True,2000,False,False,True,0.69,2.873289108276367
customer,2,300,1,10,41,0,100,train,False,True,2000,False,False,True,0.675,2.4194881916046143
customer,2,300,1,20,41,0,100,train,False,True,2000,False,False,True,0.69,2.529569387435913
customer,2,300,1,30,41,0,100,train,False,True,2000,False,False,True,0.685,3.203455209732056
customer,2,300,1,50,41,0,100,train,False,True,2000,False,False,True,0.645,2.489043474197388
customer,2,300,1,100,41,0,100,train,False,True,2000,False,False,True,0.705,2.405381679534912
