dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,lr_target,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
svhn,3,10,100,1,32,1024,True,adam,0.001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.1139999999999999,1036.0228979587555
svhn,3,10,100,1,32,1024,True,adam,0.0001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.301,1039.5389666557312
svhn,3,10,100,1,32,1024,True,adam,0.0001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.3360000000000001,1037.9588873386383
svhn,3,10,100,1,32,1024,True,adam,0.0001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.3369999999999999,1033.2921516895294
svhn,3,10,100,1,32,1024,True,adam,5e-05,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.272,1034.1591730117798
svhn,3,10,100,1,32,1024,True,adam,5e-05,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.3499999999999999,1038.4644248485563
svhn,3,10,100,1,32,1024,True,adam,5e-05,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.345,1038.900382757187
svhn,3,10,100,1,32,2000,True,adam,0.001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.154,1615.2118575572968
svhn,3,10,100,1,32,2000,True,adam,0.001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.1119999999999999,1612.3734638690948
svhn,3,10,100,1,32,2000,True,adam,0.001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.118,1616.0161254405975
svhn,3,10,100,1,32,2000,True,adam,0.0001,0.001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.293,1610.519313097
svhn,3,10,100,1,32,2000,True,adam,0.0001,0.0001,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.3540000000000001,1612.6449167728424
svhn,3,10,100,1,32,2000,True,adam,0.0001,5e-05,xavier_normal,3,MSELoss(),100,False,test,False,True,0,2000,False,False,False,0.358,1614.0757250785828
