dataset,way,train_shot,test_shot,loss,epochs,trials,silent,split,x_dim,z_dim,lr_predictor,lr_target,channels,test_batch,save_data,in_alphabet,add_rotations,augmentation,gpu,accuracy,duration_sec,full_test,table_dataset
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,False,False,2,0.888,784.713928937912,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,False,False,2,0.904,779.8400776386261,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,False,False,2,0.912,800.033540725708,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,False,False,2,0.938,798.2616593837738,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,False,False,2,0.932,798.592967748642,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,False,False,2,0.934,798.9823729991913,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,False,False,2,0.9199999999999998,783.5800631046295,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,False,False,2,0.9400000000000002,784.1097278594971,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,False,False,2,0.94,794.66388463974,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,False,False,2,0.8760000000000001,1091.8919219970703,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,False,False,2,0.812,1092.1209480762482,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,False,False,2,0.82,1094.9335279464722,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,False,False,2,0.928,1092.44260430336,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,False,False,2,0.93,1094.8559744358065,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,False,False,2,0.926,1104.8933537006378,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,False,False,2,0.924,1099.5636129379272,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,False,False,2,0.942,1087.6918544769287,0.0,0.0
mnist,10,100,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,False,False,2,0.942,1086.23361992836,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,False,False,2,0.8460000000000001,1587.3735966682434,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,False,False,2,0.8120000000000002,1598.9594476222992,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,False,False,2,0.8240000000000001,1574.895850896835,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,False,False,2,0.956,1584.6943905353546,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,False,False,2,0.96,1581.3372054100037,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,False,False,2,0.9519999999999998,1582.915087223053,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,False,False,2,0.9380000000000002,1596.0618181228638,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,False,False,2,0.956,1586.9388761520386,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,False,False,2,0.954,1586.6457903385162,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,False,False,2,0.86,2204.627021074295,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,False,False,2,0.76,2222.359972715378,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,False,False,2,0.7539999999999999,2234.5860624313354,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,False,False,2,0.95,2229.3572885990143,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,False,False,2,0.964,2273.614996910095,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,False,False,2,0.968,2236.6501660346985,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,False,False,2,0.948,2240.3225173950195,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,False,False,2,0.962,2174.664343118668,0.0,0.0
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,False,False,2,0.968,2186.547744512558,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,1,False,False,False,False,2,0.806,2395.4670717716217,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,1,False,False,False,False,2,0.752,2414.0839846134186,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.001,5e-05,1,1,False,False,False,False,2,0.762,2406.5160522460938,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,1,False,False,False,False,2,0.954,2423.227687597275,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,1,False,False,False,False,2,0.948,2400.8722360134125,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.0001,5e-05,1,1,False,False,False,False,2,0.95,2392.9544489383698,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,5e-05,0.001,1,1,False,False,False,False,2,0.96,2387.919991493225,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,5e-05,0.0001,1,1,False,False,False,False,2,0.956,2403.1590197086334,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,5e-05,5e-05,1,1,False,False,False,False,2,0.958,2392.525776863098,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,1,False,False,False,False,2,0.7759999999999999,3361.876836299896,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,1,False,False,False,False,2,0.638,3340.7086691856384,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.001,5e-05,1,1,False,False,False,False,2,0.618,3316.502300262451,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,1,False,False,False,False,2,0.946,3314.822526693344,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,1,False,False,False,False,2,0.944,3300.277210235596,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.0001,5e-05,1,1,False,False,False,False,2,0.9380000000000002,3312.6519587039948,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.001,1,1,False,False,False,False,2,0.95,3391.883697986603,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,5e-05,0.0001,1,1,False,False,False,False,2,0.956,3390.9377121925354,0.0,0.0
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,5e-05,5e-05,1,1,False,False,False,False,2,0.95,3326.8752982616425,0.0,0.0
