dataset,epochs,way,train_shot,test_shot,dld,optimizer,lr,initialization,loss,trials,silent,split,gpu,test_batch,full_test,save_data,accuracy,duration_sec,table_dataset,x_dim,z_dim
covtype,3,7,300,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4257142857142856,742.3385677337646,1.0,54.0,2000.0
covtype,3,7,300,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.6042857142857144,788.2216475009918,1.0,54.0,2000.0
covtype,3,7,300,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5935714285714285,771.0426394939423,1.0,54.0,2000.0
covtype,3,7,300,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5892857142857144,747.9962842464447,1.0,54.0,2000.0
covtype,10,7,1,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.2778571428571428,82.93464708328247,1.0,54.0,1000.0
covtype,10,7,1,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.27,85.39365649223328,1.0,54.0,1000.0
covtype,10,7,1,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.1814285714285713,84.09481596946716,1.0,54.0,1000.0
covtype,10,7,1,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.1664285714285714,83.29978466033936,1.0,54.0,1000.0
covtype,10,7,1,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.2928571428571428,82.73484396934509,1.0,54.0,2000.0
covtype,10,7,1,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.275,84.56789302825928,1.0,54.0,2000.0
covtype,10,7,1,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.2028571428571428,83.60240292549133,1.0,54.0,2000.0
covtype,10,7,1,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.1707142857142857,81.94961333274841,1.0,54.0,2000.0
covtype,10,7,5,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4214285714285714,114.07636094093324,1.0,54.0,1000.0
covtype,10,7,5,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4142857142857143,116.1258282661438,1.0,54.0,1000.0
covtype,10,7,5,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.327142857142857,113.27110767364502,1.0,54.0,1000.0
covtype,10,7,5,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.252142857142857,112.54651546478271,1.0,54.0,1000.0
covtype,10,7,5,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.41,121.98397588729858,1.0,54.0,2000.0
covtype,10,7,5,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4278571428571428,129.12445282936096,1.0,54.0,2000.0
covtype,10,7,5,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.3564285714285715,131.14532017707825,1.0,54.0,2000.0
covtype,10,7,5,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.275,127.69950342178343,1.0,54.0,2000.0
covtype,10,7,10,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4799999999999999,166.50608205795288,1.0,54.0,1000.0
covtype,10,7,10,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.48,161.09624862670898,1.0,54.0,1000.0
covtype,10,7,10,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4057142857142856,156.91269278526306,1.0,54.0,1000.0
covtype,10,7,10,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.3399999999999999,163.42273545265198,1.0,54.0,1000.0
covtype,10,7,10,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4921428571428571,171.90191769599917,1.0,54.0,2000.0
covtype,10,7,10,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.49,173.7070963382721,1.0,54.0,2000.0
covtype,10,7,10,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4678571428571427,165.88412523269653,1.0,54.0,2000.0
covtype,10,7,10,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.3942857142857142,165.89292311668396,1.0,54.0,2000.0
covtype,10,7,100,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4328571428571428,858.1777784824371,1.0,54.0,1000.0
covtype,10,7,100,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5807142857142857,835.7439749240875,1.0,54.0,1000.0
covtype,10,7,100,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5800000000000001,860.3810043334961,1.0,54.0,1000.0
covtype,10,7,100,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5657142857142857,872.3743183612823,1.0,54.0,1000.0
covtype,10,7,100,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4464285714285714,865.8368711471558,1.0,54.0,2000.0
covtype,10,7,100,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5907142857142857,845.1898000240326,1.0,54.0,2000.0
covtype,10,7,100,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5892857142857142,843.6662170886993,1.0,54.0,2000.0
covtype,10,7,100,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5885714285714285,877.1709253787994,1.0,54.0,2000.0
covtype,10,7,300,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.4078571428571428,2410.761887073517,1.0,54.0,1000.0
covtype,10,7,300,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.525,2376.805699110031,1.0,54.0,1000.0
covtype,10,7,300,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5914285714285714,3263.095610618592,1.0,54.0,1000.0
covtype,10,7,300,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5807142857142858,4186.498649358749,1.0,54.0,1000.0
covtype,10,7,300,2,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.415,4873.805168151856,1.0,54.0,2000.0
covtype,10,7,300,2,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5085714285714287,4188.90778708458,1.0,54.0,2000.0
covtype,10,7,300,2,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.592857142857143,4796.666789531708,1.0,54.0,2000.0
covtype,10,7,300,2,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,0,2000,False,False,0.5942857142857143,3994.97212600708,1.0,54.0,2000.0
covtype,3,7,200,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.4699999999999998,697.625274181366,1.0,54.0,1000.0
covtype,3,7,50,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5199999999999999,213.5518698692321,1.0,54.0,1000.0
covtype,3,7,50,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5671428571428571,251.27404403686523,1.0,54.0,1000.0
covtype,3,7,50,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5128571428571428,247.88983917236328,1.0,54.0,1000.0
covtype,3,7,50,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.4328571428571428,245.94872856140137,1.0,54.0,1000.0
covtype,3,7,50,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5171428571428571,231.19370818138125,1.0,54.0,2000.0
covtype,3,7,50,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5742857142857143,230.4958050251007,1.0,54.0,2000.0
covtype,3,7,50,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.54,233.12196946144104,1.0,54.0,2000.0
covtype,3,7,50,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.4699999999999999,233.6537368297577,1.0,54.0,2000.0
covtype,3,7,200,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.4699999999999998,709.9776446819305,1.0,54.0,1000.0
covtype,3,7,200,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.6185714285714284,694.5106842517853,1.0,54.0,1000.0
covtype,3,7,200,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.6171428571428571,672.8982698917389,1.0,54.0,1000.0
covtype,3,7,200,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5914285714285714,671.5645806789398,1.0,54.0,1000.0
covtype,3,7,200,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.447142857142857,661.210807800293,1.0,54.0,2000.0
covtype,3,7,200,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5785714285714285,654.2274806499481,1.0,54.0,2000.0
covtype,3,7,200,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.577142857142857,706.2400424480438,1.0,54.0,2000.0
covtype,3,7,200,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5671428571428571,768.1581518650055,1.0,54.0,2000.0
covtype,10,7,50,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.4642857142857142,631.9580421447754,1.0,54.0,1000.0
covtype,10,7,50,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5971428571428572,619.6267349720001,1.0,54.0,1000.0
covtype,10,7,50,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5671428571428571,598.6135356426239,1.0,54.0,1000.0
covtype,10,7,50,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5514285714285714,580.104323387146,1.0,54.0,1000.0
covtype,10,7,50,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.4157142857142857,574.623539686203,1.0,54.0,2000.0
covtype,10,7,50,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5714285714285714,565.0839376449585,1.0,54.0,2000.0
covtype,10,7,50,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5628571428571427,555.2514662742615,1.0,54.0,2000.0
covtype,10,7,50,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.55,548.4769115447998,1.0,54.0,2000.0
covtype,10,7,200,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.4328571428571428,2304.866621494293,1.0,54.0,1000.0
covtype,10,7,200,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.57,2125.691841840744,1.0,54.0,1000.0
covtype,10,7,200,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.627142857142857,2075.4976541996,1.0,54.0,1000.0
covtype,10,7,200,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.62,2341.8717017173767,1.0,54.0,1000.0
covtype,10,7,200,1,True,adam,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.3971428571428571,2141.6199016571045,1.0,54.0,2000.0
covtype,10,7,200,1,True,adam,0.001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5214285714285714,2250.124176263809,1.0,54.0,2000.0
covtype,10,7,200,1,True,adam,0.0001,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5771428571428571,2237.037281513214,1.0,54.0,2000.0
covtype,10,7,200,1,True,adam,5e-05,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,0.5742857142857142,2078.7660026550293,1.0,54.0,2000.0
