dataset,way,train_shot,test_shot,loss,epochs,trials,silent,split,x_dim,z_dim,lr_predictor,lr_target,channels,test_batch,save_data,in_alphabet,add_rotations,augmentation,full_test,gpu,accuracy,duration_sec
svhn,10,300,1,MSELoss(),10,100,True,test,32,1024,0.0001,5e-05,3,1,False,False,True,True,False,1,0.237,15151.748672962189
svhn,10,300,1,MSELoss(),10,100,True,test,32,1024,5e-05,0.001,3,1,False,False,True,True,False,1,0.341,15365.635716438292
svhn,10,300,1,MSELoss(),10,100,True,test,32,1024,5e-05,0.0001,3,1,False,False,True,True,False,1,0.354,15051.993846178057
svhn,10,300,1,MSELoss(),10,100,True,test,32,1024,5e-05,5e-05,3,1,False,False,True,True,False,1,0.3440000000000001,11004.301404476166
svhn,10,300,1,MSELoss(),10,100,True,test,32,2000,0.001,0.001,3,1,False,False,True,True,False,1,0.156,16199.84791779518
svhn,10,300,1,MSELoss(),10,100,True,test,32,2000,0.001,0.0001,3,1,False,False,True,True,False,1,0.128,16316.001420259476
svhn,10,300,1,MSELoss(),10,100,True,test,32,2000,0.001,5e-05,3,1,False,False,True,True,False,1,0.124,16841.823616743088
svhn,10,300,1,MSELoss(),10,100,True,test,32,2000,0.0001,0.001,3,1,False,False,True,True,False,1,0.2690000000000001,16572.692593574524
svhn,10,300,1,MSELoss(),10,100,True,test,32,2000,0.0001,0.0001,3,1,False,False,True,True,False,1,0.249,16594.28280234337
svhn,10,300,1,MSELoss(),10,100,True,test,32,2000,0.0001,5e-05,3,1,False,False,True,True,False,1,0.2349999999999999,16615.810312509537
svhn,10,300,1,MSELoss(),10,100,True,test,32,2000,5e-05,0.001,3,1,False,False,True,True,False,1,0.3,16611.408644914627
svhn,10,300,1,MSELoss(),10,100,True,test,32,2000,5e-05,0.0001,3,1,False,False,True,True,False,1,0.3619999999999999,16638.78932762146
svhn,10,300,1,MSELoss(),10,100,True,test,32,2000,5e-05,5e-05,3,1,False,False,True,True,False,1,0.35600000000000004,16615.67551612854
