dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,dld,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,table_dataset,accuracy,duration_sec
mnist,10,10,10,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.003,194.66336250305176
mnist,10,10,50,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,733.4246244430542
mnist,10,10,50,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,743.2903163433075
mnist,10,10,50,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,733.3088662624359
mnist,10,10,50,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,799.227664232254
mnist,10,10,50,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,788.4112727642059
mnist,10,10,50,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,797.8601453304291
mnist,10,10,100,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.001,1421.1916677951813
mnist,10,10,100,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,5821.131434679031
mnist,10,10,100,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,8948.385956525803
mnist,10,10,100,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,8748.56900548935
mnist,10,10,100,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,1542.532922744751
mnist,10,10,100,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,1567.2912483215332
mnist,10,10,200,1,28,784,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.001,2880.005145072937
mnist,10,10,200,1,28,784,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,4507.667456626892
mnist,10,10,200,1,28,784,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,4824.779059171677
mnist,10,10,200,1,28,2000,True,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.002,4955.735909938812
mnist,10,10,200,1,28,2000,True,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,3078.143583536148
mnist,10,10,200,1,28,2000,True,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,3,2000,False,False,False,0.0,3143.698028564453
