dataset,way,epochs,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,accuracy,duration_sec
omniglot,5,1,10,1,28,600,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.272,82.51431846618651
omniglot,5,1,10,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.256,88.10207915306091
omniglot,5,1,10,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.232,88.51818346977234
omniglot,5,1,10,1,28,600,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23199999999999998,88.57316756248474
omniglot,5,1,10,1,28,784,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.21600000000000005,83.4643440246582
omniglot,5,1,10,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.26,83.04143571853638
omniglot,5,1,10,1,28,784,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.26,83.00407814979553
omniglot,5,1,10,1,28,784,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,89.22750902175903
omniglot,5,1,10,1,28,784,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.196,88.38810253143309
omniglot,5,1,10,1,28,784,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.196,88.34392929077148
omniglot,5,1,10,1,28,1000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.204,84.26544284820557
omniglot,5,1,10,1,28,1000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.248,84.25840210914613
omniglot,5,1,10,1,28,1000,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.24,83.0823907852173
omniglot,5,1,10,1,28,1000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.172,89.35087203979492
omniglot,5,1,10,1,28,1000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.17600000000000002,89.53595304489136
omniglot,5,1,10,1,28,1000,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.17600000000000002,91.0057246685028
omniglot,5,1,10,1,28,2000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.248,97.5351448059082
omniglot,5,1,10,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23199999999999998,97.1980242729187
omniglot,5,1,10,1,28,2000,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.248,97.70558404922484
omniglot,5,1,10,1,28,2000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.17600000000000002,109.59266495704651
omniglot,5,1,10,1,28,2000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.188,109.13583850860596
omniglot,5,1,10,1,28,2000,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.188,109.11726689338684
omniglot,5,2,1,1,28,100,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.212,12.897703170776367
omniglot,5,2,1,1,28,100,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.20800000000000002,12.476869344711304
omniglot,5,2,1,1,28,100,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.224,13.308047771453856
omniglot,5,2,1,1,28,100,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.22,13.165221214294435
omniglot,5,2,1,1,28,100,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.204,14.025423765182495
omniglot,5,2,1,1,28,100,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.204,14.35776138305664
omniglot,5,2,1,1,28,300,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.232,13.229552030563354
omniglot,5,2,1,1,28,300,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,12.792526006698608
omniglot,5,2,1,1,28,300,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,13.579464197158813
omniglot,5,2,1,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,13.472901582717896
omniglot,5,2,1,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.184,14.131130933761597
omniglot,5,2,1,1,28,300,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.184,14.31550669670105
omniglot,5,2,1,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23600000000000002,13.171098709106445
omniglot,5,2,1,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23199999999999998,12.683837175369264
omniglot,5,2,1,1,28,500,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.232,12.772852182388306
omniglot,5,2,1,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.184,13.668529987335205
omniglot,5,2,1,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.18,15.091151475906372
omniglot,5,2,1,1,28,500,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.18,13.550055980682373
omniglot,5,2,1,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.252,13.067793369293213
omniglot,5,2,1,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.252,13.169584274291992
omniglot,5,2,1,1,28,600,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.252,12.748182773590088
omniglot,5,2,1,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.196,13.968044757843018
omniglot,5,2,1,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.18,13.933123350143433
omniglot,5,2,1,1,28,600,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.18,13.80760407447815
omniglot,5,2,1,1,28,784,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.208,13.372859239578247
omniglot,5,2,1,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.20800000000000002,13.987679481506348
omniglot,5,2,1,1,28,784,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.22,13.622887134552002
omniglot,5,2,1,1,28,784,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.192,16.184038639068607
omniglot,5,2,1,1,28,784,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.192,14.628578662872314
omniglot,5,2,1,1,28,784,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.192,14.485055685043335
omniglot,5,2,1,1,28,1000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,14.06679368019104
omniglot,5,2,1,1,28,1000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.20800000000000002,13.284830570220947
omniglot,5,2,1,1,28,1000,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.212,13.028342008590698
omniglot,5,2,1,1,28,1000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.19199999999999995,14.675196647644045
omniglot,5,2,1,1,28,1000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.196,14.740906953811646
omniglot,5,2,1,1,28,1000,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.196,14.731740236282349
omniglot,5,2,1,1,28,2000,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.192,20.258256196975708
omniglot,5,2,1,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.184,20.017822980880734
omniglot,5,2,1,1,28,2000,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.188,20.06184983253479
omniglot,5,2,1,1,28,2000,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.196,22.1418240070343
omniglot,5,2,1,1,28,2000,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,22.172950506210327
omniglot,5,2,1,1,28,2000,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,22.69436740875244
omniglot,5,2,5,1,28,100,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.24,62.50891280174256
omniglot,5,2,5,1,28,100,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.236,62.7710440158844
omniglot,5,2,5,1,28,100,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.248,63.2150719165802
omniglot,5,2,5,1,28,100,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,68.88474512100221
omniglot,5,2,5,1,28,100,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.208,67.97524356842041
omniglot,5,2,5,1,28,100,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.204,68.77337169647217
omniglot,5,2,5,1,28,300,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.256,64.56343412399292
omniglot,5,2,5,1,28,300,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.264,63.83228707313538
omniglot,5,2,5,1,28,300,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.276,64.26856923103333
omniglot,5,2,5,1,28,300,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.244,68.79538202285768
omniglot,5,2,5,1,28,300,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2240000000000001,69.11867237091064
omniglot,5,2,5,1,28,300,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.228,71.33912134170531
omniglot,5,2,5,1,28,500,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.224,63.67569613456726
omniglot,5,2,5,1,28,500,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.26,63.97162556648254
omniglot,5,2,5,1,28,500,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.252,63.82745170593262
omniglot,5,2,5,1,28,500,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.212,70.09985375404358
omniglot,5,2,5,1,28,500,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.196,69.98670840263368
omniglot,5,2,5,1,28,500,adadelta,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.2,70.1439938545227
omniglot,5,2,5,1,28,600,adam,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.232,63.52058529853821
omniglot,5,2,5,1,28,600,adam,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.236,64.38424515724182
omniglot,5,2,5,1,28,600,adam,0.0005,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.23600000000000002,63.96035170555115
omniglot,5,2,5,1,28,600,adadelta,0.01,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.172,70.5188250541687
omniglot,5,2,5,1,28,600,adadelta,0.001,xavier_normal,1,MSELoss(),50,True,test,False,True,1,0.15600000000000006,69.87518715858461
