dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
omniglot,10,3,3,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.6566666666666666,7.53406810760498
omniglot,10,3,3,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.5733333333333333,7.495981454849242
omniglot,10,3,3,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.49,7.617933988571168
omniglot,10,3,3,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.37,7.496298313140869
omniglot,10,3,3,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.3433333333333333,7.5353338718414316
omniglot,10,3,3,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.33333333333333337,7.5119123458862305
omniglot,10,3,3,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.32,7.4334983825683585
omniglot,10,3,3,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.7,11.788365364074707
omniglot,10,3,3,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.64,11.584623098373413
omniglot,10,3,3,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.6033333333333333,11.733516454696655
omniglot,10,3,3,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.4633333333333333,11.636105298995972
omniglot,10,3,3,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.43,11.608797550201414
omniglot,10,3,3,1,28,2000,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.4033333333333333,11.72612762451172
omniglot,10,3,3,1,28,2000,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.3933333333333333,11.73557186126709
omniglot,10,3,5,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.7366666666666668,11.304129838943481
omniglot,10,3,5,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.6966666666666669,11.23126769065857
omniglot,10,3,5,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.6466666666666666,11.205711126327515
omniglot,10,3,5,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.42,11.29190993309021
omniglot,10,3,5,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.3666666666666665,11.274268865585327
omniglot,10,3,5,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.3266666666666667,11.098007440567017
omniglot,10,3,5,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.3133333333333333,11.109842777252195
omniglot,10,3,5,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.7766666666666667,16.43962073326111
omniglot,10,3,5,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.7233333333333333,16.43893599510193
omniglot,10,3,5,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.6933333333333332,16.420389413833618
omniglot,10,3,5,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.4966666666666667,16.32958436012268
omniglot,10,3,5,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,1,2000,False,False,0.41333333333333344,16.367576599121097
