dataset,way,train_shot,test_shot,loss,epochs,trials,silent,split,x_dim,z_dim,lr_predictor,lr_target,channels,gpu,test_batch,save_data,accuracy,duration_sec
mnist,10,200,1,MSELoss(),3,50,True,test,28,2000,0.001,0.0001,1,0,2000,False,0.847342,613.3010547161102
mnist,10,200,1,MSELoss(),3,50,True,test,28,2000,0.0001,0.001,1,0,2000,False,0.94245,600.5199744701384
mnist,10,200,1,MSELoss(),3,50,True,test,28,2000,0.0001,0.0001,1,0,2000,False,0.952644,599.7584824562073
mnist,10,200,1,MSELoss(),3,50,True,test,28,2000,1e-05,0.001,1,0,2000,False,0.8926559999999999,601.0836625099182
mnist,10,200,1,MSELoss(),3,50,True,test,28,2000,1e-05,0.0001,1,0,2000,False,0.9276139999999998,600.6514852046968
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,0,2000,False,0.8357060000000002,1391.2396171092987
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,0,2000,False,0.803976,1368.7934260368347
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,0,2000,False,0.940572,1318.7003700733185
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,0,2000,False,0.9433600000000001,1329.9770781993864
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,1e-05,0.001,1,0,2000,False,0.915592,1333.6722564697266
mnist,10,200,1,MSELoss(),10,50,True,test,28,784,1e-05,0.0001,1,0,2000,False,0.9394360000000002,1343.6573553085327
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,0,2000,False,0.828142,1897.5365734100344
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,0,2000,False,0.737352,1895.1621735095976
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,0,2000,False,0.94301,1895.8740553855896
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,0,2000,False,0.947032,1893.0256259441376
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,1e-05,0.001,1,0,2000,False,0.9205399999999999,1940.2738392353056
mnist,10,200,1,MSELoss(),10,50,True,test,28,2000,1e-05,0.0001,1,0,2000,False,0.9447700000000002,2019.790612220764
mnist,10,300,1,MSELoss(),3,50,True,test,28,784,0.001,0.001,1,0,2000,False,0.829118,899.0964953899384
mnist,10,300,1,MSELoss(),3,50,True,test,28,784,0.001,0.0001,1,0,2000,False,0.8453079999999998,905.2641751766204
mnist,10,300,1,MSELoss(),3,50,True,test,28,784,0.0001,0.001,1,0,2000,False,0.947228,891.7089285850525
mnist,10,300,1,MSELoss(),3,50,True,test,28,784,0.0001,0.0001,1,0,2000,False,0.95133,884.7010953426361
mnist,10,300,1,MSELoss(),3,50,True,test,28,784,1e-05,0.001,1,0,2000,False,0.90469,891.2828898429871
mnist,10,300,1,MSELoss(),3,50,True,test,28,784,1e-05,0.0001,1,0,2000,False,0.9300780000000001,892.7330558300017
mnist,10,300,1,MSELoss(),3,50,True,test,28,2000,0.001,0.001,1,0,2000,False,0.819466,930.2944579124452
mnist,10,300,1,MSELoss(),3,50,True,test,28,2000,0.001,0.0001,1,0,2000,False,0.7824560000000002,930.3002042770386
mnist,10,300,1,MSELoss(),3,50,True,test,28,2000,0.0001,0.001,1,0,2000,False,0.949348,930.270894050598
mnist,10,300,1,MSELoss(),3,50,True,test,28,2000,0.0001,0.0001,1,0,2000,False,0.95646,930.9309966564177
mnist,10,300,1,MSELoss(),3,50,True,test,28,2000,1e-05,0.001,1,0,2000,False,0.908382,932.53324508667
mnist,10,300,1,MSELoss(),3,50,True,test,28,2000,1e-05,0.0001,1,0,2000,False,0.93673,931.1140568256378
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.001,0.001,1,0,2000,False,0.7918900000000001,2936.528034448624
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.001,0.0001,1,0,2000,False,0.7298600000000001,2923.2174167633057
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.0001,0.001,1,0,2000,False,0.9450040000000001,2904.528048992157
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,0.0001,0.0001,1,0,2000,False,0.94279,2906.4341385364532
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,1e-05,0.001,1,0,2000,False,0.929086,2932.869262456894
mnist,10,300,1,MSELoss(),10,50,True,test,28,784,1e-05,0.0001,1,0,2000,False,0.948512,2873.918939113617
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.001,0.001,1,0,2000,False,0.7853319999999999,3017.8407406806946
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.001,0.0001,1,0,2000,False,0.6722219999999999,3012.962990760803
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.001,1,0,2000,False,0.946862,3014.970056295395
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,0.0001,0.0001,1,0,2000,False,0.9449559999999999,2995.475405693054
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,1e-05,0.001,1,0,2000,False,0.9332459999999998,2915.369807243347
mnist,10,300,1,MSELoss(),10,50,True,test,28,2000,1e-05,0.0001,1,0,2000,False,0.9526140000000001,2921.8110389709473
