accuracy,add_rotations,augmentation,channels,dataset,duration_sec,epochs,gpu,in_alphabet,loss,lr_predictor,lr_target,save_data,silent,split,test_batch,test_shot,train_shot,trials,way,x_dim,z_dim
0.6879999999999998,True,,1,omniglot,69.46779799461365,3,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,10,100,10,28,2000
0.64,True,,1,omniglot,69.48183941841124,3,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,10,100,10,28,2000
0.584,True,,1,omniglot,157.55728435516355,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,10,100,10,28,784
0.588,True,,1,omniglot,158.743239402771,10,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,10,100,10,28,784
0.6209999999999999,True,,1,omniglot,158.03151035308838,10,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,10,100,10,28,784
0.612,True,,1,omniglot,157.1914188861847,10,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,10,100,10,28,784
0.595,True,,1,omniglot,207.76769924163816,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,10,100,10,28,2000
0.461,True,,1,omniglot,207.9634804725647,10,0,False,MSELoss(),0.001,0.0001,False,True,test,1,1,10,100,10,28,2000
0.6699999999999998,True,,1,omniglot,207.76226425170898,10,0,False,MSELoss(),0.0001,0.001,False,True,test,1,1,10,100,10,28,2000
0.6809999999999999,True,,1,omniglot,208.01814699172974,10,0,False,MSELoss(),0.0001,0.0001,False,True,test,1,1,10,100,10,28,2000
0.5666666666666667,True,False,1,omniglot,94.20625495910645,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,1,50,3,28,784
0.5466666666666665,True,False,1,omniglot,29.984906435012817,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,1,50,3,28,2000
0.7266666666666666,True,False,1,omniglot,83.90669345855713,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,3,50,3,28,784
0.6866666666666668,True,False,1,omniglot,30.219335556030273,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,3,50,3,28,2000
0.7733333333333331,True,False,1,omniglot,65.33032369613646,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,5,50,3,28,784
0.7599999999999999,True,False,1,omniglot,39.64918899536133,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,5,50,3,28,2000
0.78,True,False,1,omniglot,93.26866602897644,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,10,50,3,28,784
0.8799999999999999,True,False,1,omniglot,58.48523259162903,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,10,50,3,28,2000
0.3720000000000001,True,False,1,omniglot,84.70639228820802,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,1,50,5,28,784
0.42,True,False,1,omniglot,29.7702112197876,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,1,50,5,28,2000
0.56,True,False,1,omniglot,86.71160435676575,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,3,50,5,28,784
0.636,True,False,1,omniglot,40.10199165344238,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,3,50,5,28,2000
0.632,True,False,1,omniglot,80.46870350837708,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,5,50,5,28,784
0.672,True,False,1,omniglot,48.03594708442688,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,5,50,5,28,2000
0.684,True,False,1,omniglot,107.60651659965515,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,10,50,5,28,784
0.736,True,False,1,omniglot,82.09966015815733,10,0,False,MSELoss(),0.001,0.001,False,True,test,1,1,10,50,5,28,2000
