dataset,epochs,way,train_shot,test_shot,x_dim,z_dim,optimizer,lr,initialization,channels,loss,trials,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
omniglot,10,10,1,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.19600000000000006,37.58823013305664
omniglot,10,10,1,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.13699999999999998,38.14612174034119
omniglot,10,10,1,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.102,38.09623217582703
omniglot,10,10,1,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.09699999999999998,38.116593599319465
omniglot,10,10,1,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.3389999999999999,61.45084524154663
omniglot,10,10,1,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.342,62.0009868144989
omniglot,10,10,1,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.332,60.78287720680237
omniglot,10,10,1,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.213,60.50811457633972
omniglot,10,10,1,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.16200000000000006,61.42896556854248
omniglot,10,10,1,1,28,2000,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.12500000000000006,61.18310189247131
omniglot,10,10,1,1,28,2000,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.12300000000000001,61.04673075675965
omniglot,10,10,3,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.471,70.10613608360289
omniglot,10,10,3,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.48,69.11467385292053
omniglot,10,10,3,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.476,75.79617452621459
omniglot,10,10,3,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.3670000000000001,75.85301661491394
omniglot,10,10,3,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.26899999999999996,75.83790993690491
omniglot,10,10,3,1,28,784,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.13799999999999998,75.59660840034483
omniglot,10,10,3,1,28,784,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.12699999999999995,75.58310294151306
omniglot,10,10,3,1,28,2000,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.523,112.00936961174013
omniglot,10,10,3,1,28,2000,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.536,111.73117208480836
omniglot,10,10,3,1,28,2000,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5349999999999999,112.74931240081787
omniglot,10,10,3,1,28,2000,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.426,112.64559984207152
omniglot,10,10,3,1,28,2000,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.32,112.67850065231323
omniglot,10,10,3,1,28,2000,adam,1e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.145,111.25870513916016
omniglot,10,10,3,1,28,2000,adam,5e-07,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.121,112.47752952575684
omniglot,10,10,5,1,28,784,adam,0.001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5650000000000001,125.85546994209291
omniglot,10,10,5,1,28,784,adam,0.0001,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5720000000000001,126.08548021316528
omniglot,10,10,5,1,28,784,adam,5e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.5489999999999999,125.73683643341064
omniglot,10,10,5,1,28,784,adam,1e-05,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.46,126.03930163383484
omniglot,10,10,5,1,28,784,adam,5e-06,xavier_normal,1,MSELoss(),100,True,test,False,True,0,2000,False,False,0.34700000000000003,125.58640480041504
